subject,time_delay,age_group,trial_count,topic,statement,statementtype,make_fams
53987712fdf99b68e3a45021,39.19,younger,1,marriage_license_benefits,marriage_license_benefits_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,2,biden_studentdebt,biden_studentdebt_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,3,coronabeer_covid,coronabeer_covid_m.png,correct_3,4
53987712fdf99b68e3a45021,39.19,younger,4,cleanest_air,cleanest_air_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,5,guncontrol_background,guncontrol_background_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,6,us_trading_partner,us_trading_partner_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,7,trump_chrissyteigen,trump_chrissyteigen_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,8,bloomberg_campaign_money,bloomberg_campaign_money_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,9,africa_revenue,africa_revenue_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,10,immigration_boy_cage,immigration_boy_cage_m.png,correct_3,4
53987712fdf99b68e3a45021,39.19,younger,11,rural_hospitals,rural_hospitals_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,12,global_warming_antarctica,global_warming_antarctica_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,13,energy_independence,energy_independence_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,14,pres_vacation,pres_vacation_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,15,illegal_traffic_rate,illegal_traffic_rate_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,16,missing_people,missing_people_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,17,trump_emotional,trump_emotional_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,18,federal_state_dollars,federal_state_dollars_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,19,soccer_revenue_gap,soccer_revenue_gap_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,20,apple_heart_monitor,apple_heart_monitor_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,21,test_american_cars,test_american_cars_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,22,mass_shootings,mass_shootings_c.png,filler,4
53987712fdf99b68e3a45021,39.19,younger,23,rep_control,rep_control_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,24,starwars_trump,starwars_trump_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,25,trump_signed_legislation,trump_signed_legislation_m.png,correct_3,2
53987712fdf99b68e3a45021,39.19,younger,26,disease_illinois,disease_illinois_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,27,library_americanflag,library_americanflag_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,28,hurricane_relief,hurricane_relief_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,29,un_resolutions,un_resolutions_c.png,filler,1
53987712fdf99b68e3a45021,39.19,younger,30,veteran_suicide,veteran_suicide_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,31,rep_control,rep_control_m.png,correct_3,1
53987712fdf99b68e3a45021,39.19,younger,32,mass_shootings,mass_shootings_c.png,filler,4
53987712fdf99b68e3a45021,39.19,younger,33,library_americanflag,library_americanflag_m.png,correct_3,1
